Date,Monthly Mean Total Sunspot Number,Monthly Mean Standard Deviation,Number of Observations,Definitive/Provisional Indicator
2018-05-31,13.2,1.6,1035.0,0.0
2018-04-30,8.9,1.3,836.0,0.0
2018-03-31,2.5,0.5,916.0,0.0
2018-02-28,10.6,1.1,810.0,0.0
2018-01-31,6.7,1.1,562.0,0.0
2017-12-31,8.2,1.2,714.0,1.0
2017-11-30,5.7,0.5,997.0,1.0
2017-10-31,13.2,1.0,1125.0,1.0
2017-09-30,43.7,4.1,973.0,1.0
2017-08-31,32.6,2.9,1002.0,1.0
2017-07-31,17.8,2.6,1093.0,1.0
2017-06-30,19.2,1.4,1136.0,1.0
2017-05-31,18.9,1.8,1101.0,1.0
2017-04-30,32.3,3.7,920.0,1.0
2017-03-31,17.7,2.6,1011.0,1.0
2017-02-28,26.4,3.7,542.0,1.0
2017-01-31,26.1,2.5,830.0,1.0
2016-12-31,18.5,2.4,623.0,1.0
2016-11-30,21.4,2.6,689.0,1.0
2016-10-31,33.4,3.1,782.0,1.0
2016-09-30,44.6,3.8,900.0,1.0
2016-08-31,50.2,4.5,1067.0,1.0
2016-07-31,32.4,3.8,1025.0,1.0
2016-06-30,20.5,2.0,942.0,1.0
2016-05-31,51.5,4.7,878.0,1.0
2016-04-30,37.9,3.5,865.0,1.0
2016-03-31,54.1,4.9,873.0,1.0
2016-02-29,56.4,5.1,662.0,1.0
2016-01-31,57.0,4.7,634.0,1.0
2015-12-31,58.0,5.4,704.0,1.0
2015-11-30,62.2,5.2,622.0,1.0
2015-10-31,63.6,5.4,662.0,1.0
2015-09-30,78.6,6.4,862.0,1.0
2015-08-31,64.4,5.2,892.0,1.0
2015-07-31,65.8,5.7,977.0,1.0
2015-06-30,66.5,6.3,826.0,1.0
2015-05-31,88.8,8.6,895.0,1.0
2015-04-30,75.3,8.2,847.0,1.0
2015-03-31,54.5,4.8,628.0,1.0
2015-02-28,66.7,5.3,442.0,1.0
2015-01-31,93.0,7.5,546.0,1.0
2014-12-31,112.9,7.4,331.0,1.0
2014-11-30,103.6,8.5,397.0,1.0
2014-10-31,90.0,6.9,440.0,1.0
2014-09-30,130.0,8.7,419.0,1.0
2014-08-31,106.9,7.6,486.0,1.0
2014-07-31,100.2,7.4,477.0,1.0
2014-06-30,102.9,7.7,469.0,1.0
2014-05-31,112.5,7.5,493.0,1.0
2014-04-30,112.5,6.9,486.0,1.0
2014-03-31,128.7,8.6,493.0,1.0
2014-02-28,146.1,10.7,384.0,1.0
2014-01-31,117.0,8.2,398.0,1.0
2013-12-31,124.2,9.1,402.0,1.0
2013-11-30,113.9,8.2,321.0,1.0
2013-10-31,114.4,8.2,421.0,1.0
2013-09-30,54.5,5.3,446.0,1.0
2013-08-31,91.8,6.6,563.0,1.0
2013-07-31,86.2,6.7,575.0,1.0
2013-06-30,76.7,5.2,469.0,1.0
2013-05-31,120.2,8.2,487.0,1.0
2013-04-30,107.3,6.8,509.0,1.0
2013-03-31,78.3,6.1,429.0,1.0
2013-02-28,60.9,4.4,363.0,1.0
2013-01-31,96.1,6.3,362.0,1.0
2012-12-31,56.8,5.1,360.0,1.0
2012-11-30,87.6,6.5,382.0,1.0
2012-10-31,76.5,5.1,493.0,1.0
2012-09-30,93.7,8.1,511.0,1.0
2012-08-31,94.8,6.5,612.0,1.0
2012-07-31,100.1,7.3,601.0,1.0
2012-06-30,92.0,6.5,498.0,1.0
2012-05-31,96.5,7.2,543.0,1.0
2012-04-30,85.9,6.9,479.0,1.0
2012-03-31,86.6,7.3,500.0,1.0
2012-02-29,47.8,4.4,388.0,1.0
2012-01-31,94.4,7.1,386.0,1.0
2011-12-31,109.3,8.4,361.0,1.0
2011-11-30,139.1,9.9,434.0,1.0
2011-10-31,125.7,9.0,503.0,1.0
2011-09-30,120.1,8.8,535.0,1.0
2011-08-31,65.8,5.6,605.0,1.0
2011-07-31,64.5,4.8,549.0,1.0
2011-06-30,56.1,5.0,544.0,1.0
2011-05-31,58.2,5.0,607.0,1.0
2011-04-30,76.1,6.2,557.0,1.0
2011-03-31,78.6,6.9,566.0,1.0
2011-02-28,48.3,5.1,399.0,1.0
2011-01-31,27.3,3.1,417.0,1.0
2010-12-31,24.5,3.6,393.0,1.0
2010-11-30,34.4,3.7,404.0,1.0
2010-10-31,33.6,3.9,501.0,1.0
2010-09-30,36.4,4.0,505.0,1.0
2010-08-31,29.6,3.4,689.0,1.0
2010-07-31,25.2,3.4,718.0,1.0
2010-06-30,18.8,3.0,600.0,1.0
2010-05-31,13.9,3.4,573.0,1.0
2010-04-30,10.4,3.3,592.0,1.0
2010-03-31,24.0,3.6,564.0,1.0
2010-02-28,28.5,2.7,376.0,1.0
2010-01-31,19.5,2.5,413.0,1.0
2009-12-31,16.3,3.5,415.0,1.0
2009-11-30,6.9,3.2,452.0,1.0
2009-10-31,7.7,2.7,564.0,1.0
2009-09-30,7.1,2.2,628.0,1.0
2009-08-31,0.0,2.0,691.0,1.0
2009-07-31,5.5,2.6,671.0,1.0
2009-06-30,6.3,2.7,623.0,1.0
2009-05-31,2.9,2.4,610.0,1.0
2009-04-30,1.2,2.2,586.0,1.0
2009-03-31,0.6,2.0,523.0,1.0
2009-02-28,1.2,2.2,385.0,1.0
2009-01-31,1.3,2.0,317.0,1.0
2008-12-31,1.0,2.0,480.0,1.0
2008-11-30,6.6,2.4,445.0,1.0
2008-10-31,4.2,2.9,571.0,1.0
2008-09-30,1.2,2.4,605.0,1.0
2008-08-31,0.3,2.0,525.0,1.0
2008-07-31,0.6,2.0,664.0,1.0
2008-06-30,5.2,2.3,637.0,1.0
2008-05-31,4.6,3.2,637.0,1.0
2008-04-30,3.6,2.3,562.0,1.0
2008-03-31,15.5,2.7,548.0,1.0
2008-02-29,2.9,2.4,490.0,1.0
2008-01-31,4.1,2.8,480.0,1.0
2007-12-31,17.3,3.1,468.0,1.0
2007-11-30,2.8,2.5,437.0,1.0
2007-10-31,1.5,2.4,547.0,1.0
2007-09-30,4.0,2.1,637.0,1.0
2007-08-31,9.8,2.2,669.0,1.0
2007-07-31,15.1,1.9,703.0,1.0
2007-06-30,21.3,3.4,607.0,1.0
2007-05-31,19.5,3.3,615.0,1.0
2007-04-30,5.4,2.4,650.0,1.0
2007-03-31,7.2,2.8,611.0,1.0
2007-02-28,18.4,2.7,423.0,1.0
2007-01-31,29.3,2.8,474.0,1.0
2006-12-31,22.3,3.5,415.0,1.0
2006-11-30,35.7,3.5,444.0,1.0
2006-10-31,14.9,2.4,537.0,1.0
2006-09-30,23.7,3.0,567.0,1.0
2006-08-31,20.8,2.5,650.0,1.0
2006-07-31,22.2,2.4,628.0,1.0
2006-06-30,24.5,3.3,566.0,1.0
2006-05-31,37.2,3.9,566.0,1.0
2006-04-30,50.3,5.1,550.0,1.0
2006-03-31,17.3,4.2,502.0,1.0
2006-02-28,5.7,3.7,434.0,1.0
2006-01-31,20.9,3.4,511.0,1.0
2005-12-31,59.3,3.9,419.0,1.0
2005-11-30,27.5,4.1,499.0,1.0
2005-10-31,13.2,3.4,534.0,1.0
2005-09-30,37.2,4.5,691.0,1.0
2005-08-31,60.5,5.3,706.0,1.0
2005-07-31,62.4,6.1,678.0,1.0
2005-06-30,56.8,5.3,675.0,1.0
2005-05-31,61.9,5.7,641.0,1.0
2005-04-30,38.7,3.8,598.0,1.0
2005-03-31,39.6,3.8,607.0,1.0
2005-02-28,43.5,4.3,500.0,1.0
2005-01-31,48.1,4.6,536.0,1.0
2004-12-31,28.9,3.4,442.0,1.0
2004-11-30,70.1,5.4,477.0,1.0
2004-10-31,74.2,5.5,539.0,1.0
2004-09-30,48.8,5.3,604.0,1.0
2004-08-31,69.7,5.5,686.0,1.0
2004-07-31,83.8,8.8,709.0,1.0
2004-06-30,66.5,6.8,646.0,1.0
2004-05-31,72.8,5.7,614.0,1.0
2004-04-30,59.2,5.1,601.0,1.0
2004-03-31,74.8,5.1,594.0,1.0
2004-02-29,74.6,6.0,479.0,1.0
2004-01-31,60.6,5.2,491.0,1.0
2003-12-31,72.2,5.3,441.0,1.0
2003-11-30,82.9,6.3,443.0,1.0
2003-10-31,97.8,8.8,570.0,1.0
2003-09-30,78.5,5.8,685.0,1.0
2003-08-31,115.4,7.3,721.0,1.0
2003-07-31,128.3,7.9,677.0,1.0
2003-06-30,118.7,7.9,672.0,1.0
2003-05-31,86.8,6.6,606.0,1.0
2003-04-30,97.9,6.4,619.0,1.0
2003-03-31,100.7,7.5,633.0,1.0
2003-02-28,75.7,5.7,538.0,1.0
2003-01-31,133.5,7.4,482.0,1.0
2002-12-31,135.3,10.0,408.0,1.0
2002-11-30,147.2,8.2,470.0,1.0
2002-10-31,151.2,8.0,543.0,1.0
2002-09-30,187.9,10.1,554.0,1.0
2002-08-31,175.6,9.8,663.0,1.0
2002-07-31,161.0,11.0,628.0,1.0
2002-06-30,128.8,7.7,569.0,1.0
2002-05-31,187.5,9.7,595.0,1.0
2002-04-30,186.9,9.8,603.0,1.0
